slide_id,tile_id,comparison_label,method_a,method_b,abs_err_a,abs_err_b,delta_abs_err,hass_level,density_bin,gt_count,p_value_pairwise,holm_adjusted_p
external,24,spotiphy_vs_stardist,spotiphy,stardist,12.0,78.0,66.0,,Q3,39,0.0390625,0.0390625
external,25,segdecon_vs_spotiphy,segdecon,spotiphy,8.0,23.0,15.0,,Q1,30,0.00390625,0.01171875
external,25,segdecon_vs_stardist,segdecon,stardist,8.0,24.0,16.0,,Q1,30,0.011718685599768628,0.023437371199537257
external,25,spotiphy_vs_stardist,spotiphy,stardist,23.0,24.0,1.0,,Q1,30,0.01171875,0.023437371199537257
external,26,segdecon_vs_spotiphy,segdecon,spotiphy,4.0,11.0,7.0,,Q3,41,0.00390625,0.01171875
external,26,segdecon_vs_stardist,segdecon,stardist,4.0,130.0,126.0,,Q3,41,0.00390625,0.01171875
external,26,spotiphy_vs_stardist,spotiphy,stardist,11.0,130.0,119.0,,Q3,41,0.0390625,0.0390625
external,27,segdecon_vs_spotiphy,segdecon,spotiphy,10.0,81.0,71.0,,Q2,34,0.00390625,0.01171875
external,27,segdecon_vs_stardist,segdecon,stardist,10.0,174.0,164.0,,Q2,34,0.00390625,0.01171875
external,27,spotiphy_vs_stardist,spotiphy,stardist,81.0,174.0,93.0,,Q2,34,0.0078125,0.01171875
external,28,segdecon_vs_spotiphy,segdecon,spotiphy,12.0,35.0,23.0,,Q3,42,0.00390625,0.01171875
external,28,segdecon_vs_stardist,segdecon,stardist,12.0,239.0,227.0,,Q3,42,0.00390625,0.01171875
external,28,spotiphy_vs_stardist,spotiphy,stardist,35.0,239.0,204.0,,Q3,42,0.0390625,0.0390625
external,29,segdecon_vs_spotiphy,segdecon,spotiphy,10.0,41.0,31.0,,Q2,34,0.00390625,0.01171875
external,29,segdecon_vs_stardist,segdecon,stardist,10.0,138.0,128.0,,Q2,34,0.00390625,0.01171875
external,29,spotiphy_vs_stardist,spotiphy,stardist,41.0,138.0,97.0,,Q2,34,0.0078125,0.01171875
external,30,segdecon_vs_spotiphy,segdecon,spotiphy,3.0,30.0,27.0,,Q3,58,0.00390625,0.01171875
external,30,segdecon_vs_stardist,segdecon,stardist,3.0,38.0,35.0,,Q3,58,0.00390625,0.01171875
external,30,spotiphy_vs_stardist,spotiphy,stardist,30.0,38.0,8.0,,Q3,58,0.0390625,0.0390625
external,31,segdecon_vs_spotiphy,segdecon,spotiphy,1.0,9.0,8.0,,Q2,35,0.00390625,0.01171875
external,31,segdecon_vs_stardist,segdecon,stardist,1.0,109.0,108.0,,Q2,35,0.00390625,0.01171875
external,31,spotiphy_vs_stardist,spotiphy,stardist,9.0,109.0,100.0,,Q2,35,0.0078125,0.01171875
external,32,segdecon_vs_spotiphy,segdecon,spotiphy,3.0,65.0,62.0,,Q2,31,0.00390625,0.01171875
external,32,segdecon_vs_stardist,segdecon,stardist,3.0,171.0,168.0,,Q2,31,0.00390625,0.01171875
external,32,spotiphy_vs_stardist,spotiphy,stardist,65.0,171.0,106.0,,Q2,31,0.0078125,0.01171875
external,33,segdecon_vs_spotiphy,segdecon,spotiphy,11.0,135.0,124.0,,Q1,29,0.00390625,0.01171875
external,33,segdecon_vs_stardist,segdecon,stardist,11.0,267.0,256.0,,Q1,29,0.011718685599768628,0.023437371199537257
external,33,spotiphy_vs_stardist,spotiphy,stardist,135.0,267.0,132.0,,Q1,29,0.01171875,0.023437371199537257
external,34,segdecon_vs_spotiphy,segdecon,spotiphy,13.0,112.0,99.0,,Q3,41,0.00390625,0.01171875
external,34,segdecon_vs_stardist,segdecon,stardist,13.0,275.0,262.0,,Q3,41,0.00390625,0.01171875
external,34,spotiphy_vs_stardist,spotiphy,stardist,112.0,275.0,163.0,,Q3,41,0.0390625,0.0390625
external,35,segdecon_vs_spotiphy,segdecon,spotiphy,11.0,81.0,70.0,,Q2,35,0.00390625,0.01171875
external,35,segdecon_vs_stardist,segdecon,stardist,11.0,244.0,233.0,,Q2,35,0.00390625,0.01171875
external,35,spotiphy_vs_stardist,spotiphy,stardist,81.0,244.0,163.0,,Q2,35,0.0078125,0.01171875
